"from","to","distance_m"
"3.9 Pump House","3.4 Marshyhope/Puckums Branch",5688
"3.9 Pump House","3.4 Puckum's Branch",5688
"3.9 Pump House","3.6 Marshyhope/Below Puckum's Branch",8021
"3.9 Pump House","3.6 Below Puckum's Branch",8021
"3.9 Pump House","3.8 Marshyhope/Above Brookview Bridge",9832
"3.9 Pump House","3.8 Above Brookview Bridge",9832
"3.9 Pump House","Marshyhope/Brookview buoy",10323
"3.9 Pump House","4 Marshyhope/Brookview buoy",11132
"3.9 Pump House","4 Brookview buoy",11132
"3.9 Pump House","4.2 Below Brookview",12523
"3.9 Pump House","4.2 Marshyhope/Below Brookview",12523
"3.9 Pump House","4.4 Above Walnut Landing Rd.",13820
"3.9 Pump House","4.4 Marshyhope/Above Walnut Landing Rd.",13820
"3.9 Pump House","4.4 Above Walnut Landing",13820
"3.9 Pump House","4.6 Walnut Landing Rd.",15134
"3.9 Pump House","4.8 Red Bank",17171
"3.9 Pump House","4.9 Marshyhope confluence",19029
"Marshyhope/Grey Cabin","Marshyhope/Grey Cabin",0
"Marshyhope/Grey Cabin","3 Marshyhope/Grey Cabin",0
"Marshyhope/Grey Cabin","3 Palmer's Mill",0
"Marshyhope/Grey Cabin","3.2 Marshyhope/Below 392 Bridge",2301
"Marshyhope/Grey Cabin","3.2 Below 392 Bridge",2301
"Marshyhope/Grey Cabin","3.4 Marshyhope/Puckums Branch",4789
"Marshyhope/Grey Cabin","3.4 Puckum's Branch",4789
"Marshyhope/Grey Cabin","3.6 Marshyhope/Below Puckum's Branch",7123
"Marshyhope/Grey Cabin","3.6 Below Puckum's Branch",7123
"Marshyhope/Grey Cabin","3.8 Marshyhope/Above Brookview Bridge",8934
"Marshyhope/Grey Cabin","3.8 Above Brookview Bridge",8934
"Marshyhope/Grey Cabin","Marshyhope/Brookview buoy",9424
"Marshyhope/Grey Cabin","4 Marshyhope/Brookview buoy",10233
"Marshyhope/Grey Cabin","4 Brookview buoy",10233
"Marshyhope/Grey Cabin","4.2 Below Brookview",11624
"Marshyhope/Grey Cabin","4.2 Marshyhope/Below Brookview",11624
"Marshyhope/Grey Cabin","4.4 Above Walnut Landing Rd.",12921
"Marshyhope/Grey Cabin","4.4 Marshyhope/Above Walnut Landing Rd.",12921
"Marshyhope/Grey Cabin","4.4 Above Walnut Landing",12921
"Marshyhope/Grey Cabin","4.6 Walnut Landing Rd.",14236
